domain,domain_label,model_prefix,model_label,seed,rmse,mae,n_test_samples,is_floor,floor_status
amazon_electronics,E-commerce,absa_ablation_confidence_mean_cbf_nosentiment,ABSA confidence-mean,42,0.8206021492605537,0.5363178392155262,16580,False,
amazon_electronics,E-commerce,absa_ablation_confidence_mean_cbf_nosentiment,ABSA confidence-mean,123,0.9095067309159349,0.5244476698738284,16580,False,
amazon_electronics,E-commerce,absa_ablation_confidence_mean_cbf_nosentiment,ABSA confidence-mean,456,0.7908755075731494,0.5057820056616973,16580,False,
amazon_electronics,E-commerce,absa_ablation_confidence_mean_cbf_nosentiment,ABSA confidence-mean,789,0.8290266987500449,0.5637397220800654,16580,False,
amazon_electronics,E-commerce,absa_ablation_confidence_mean_cbf_nosentiment,ABSA confidence-mean,1011,1.0415324841020779,0.8247986378891596,16580,False,
amazon_electronics,E-commerce,absa_ablation_concat_cbf_nosentiment,ABSA concat,42,0.6685497801793436,0.4470237555707816,16580,False,
amazon_electronics,E-commerce,absa_ablation_concat_cbf_nosentiment,ABSA concat,123,0.6868479917097683,0.4121818142483877,16580,False,
amazon_electronics,E-commerce,absa_ablation_concat_cbf_nosentiment,ABSA concat,456,0.6539833536803952,0.424943495244215,16580,False,
amazon_electronics,E-commerce,absa_ablation_concat_cbf_nosentiment,ABSA concat,789,0.6921513069416456,0.4795333713097784,16580,False,
amazon_electronics,E-commerce,absa_ablation_concat_cbf_nosentiment,ABSA concat,1011,0.8911235380012311,0.7213216651681844,16580,False,
amazon_electronics,E-commerce,absa_ablation_concat_confidence_cbf_nosentiment,ABSA concat+confidence,42,0.6665254784363258,0.44557652478464815,16580,False,
amazon_electronics,E-commerce,absa_ablation_concat_confidence_cbf_nosentiment,ABSA concat+confidence,123,0.6729381666871649,0.40799075883563674,16580,False,
amazon_electronics,E-commerce,absa_ablation_concat_confidence_cbf_nosentiment,ABSA concat+confidence,456,0.6523301816619442,0.424718467108118,16580,False,
amazon_electronics,E-commerce,absa_ablation_concat_confidence_cbf_nosentiment,ABSA concat+confidence,789,0.682806184606128,0.4727791872446599,16580,False,
amazon_electronics,E-commerce,absa_ablation_concat_confidence_cbf_nosentiment,ABSA concat+confidence,1011,0.8960569957625873,0.721430644904048,16580,False,
amazon_electronics,E-commerce,absa_ablation_concat_confidence_cbf_nosentiment_no_sentiment,"No-sentiment floor (BUGGY, do not use)",42,1.3111043535747064,0.9255342946594315,16580,True,buggy_constant_column_nmf
amazon_electronics,E-commerce,absa_ablation_concat_confidence_cbf_nosentiment_no_sentiment,"No-sentiment floor (BUGGY, do not use)",123,1.296179844190908,0.8162721337487076,16580,True,buggy_constant_column_nmf
